OBJECTID,zoneId,country_abbr,state_abbr,county_abb,city_abbr,zone_sequence,city_zone_sequence,Incident Name,Most Extreme Status,Shape__Area,Shape__Length
1,US-CA-XLA-LAC-E119,US,CA,XLA,LAC,E119,LAC-E119,HURST,Evacuation Order,412649912.588867,113231.522051684
2,US-CA-XLA-SCL-RANCH,US,CA,XLA,SCL,RANCH,SCL-RANCH,HURST,Evacuation Warning,72086298.7402344,43886.728092302
3,US-CA-XLA-LOS-Q1116,US,CA,XLA,LOS,Q1116,LOS-Q1116,PALISADES,Evacuation Order,8429631.65234375,19035.9103361783
4,US-CA-XLA-CAL-C407,US,CA,XLA,CAL,C407,CAL-C407,PALISADES,Evacuation Warning,38459579.6904297,34610.8427322381
5,US-CA-XLA-SDP-U029,US,CA,XLA,SDP,U029,SDP-U029,PALISADES,Evacuation Order,108048643.09668,79915.287395005
6,US-CA-XLA-SCL-WREN,US,CA,XLA,SCL,WREN,SCL-WREN,HURST,Evacuation Warning,3623308.53417969,9842.47264735196
7,US-CA-XLA-LCF-MEMORIAL,US,CA,XLA,LCF,MEMORIAL,LCF-MEMORIAL,EATON,Evacuation Order,6725536.18554688,10256.7124215969
8,US-CA-XLA-LCF-INVERNESS,US,CA,XLA,LCF,INVERNESS,LCF-INVERNESS,EATON,Evacuation Order,13658696.1875,18009.1329436431
9,US-CA-XLA-AGO-C306,US,CA,XLA,AGO,C306,AGO-C306,KENNETH,Evacuation Warning,24896229.6738281,32270.8842607997
10,US-CA-XLA-LAC-E178,US,CA,XLA,LAC,E178,LAC-E178,EATON,Evacuation Order,18804751.1005859,22860.2213956913
11,US-CA-XLA-LOS-Q1119,US,CA,XLA,LOS,Q1119,LOS-Q1119,PALISADES,Evacuation Warning,43578977.2802734,55677.3845384404
12,US-CA-XLA-LOS-E003,US,CA,XLA,LOS,E003,LOS-E003,HURST,Evacuation Warning,17709121.0039063,21980.4073476628
13,US-CA-XLA-LAC-E131,US,CA,XLA,LAC,E131,LAC-E131,HURST,Evacuation Warning,189473335.686523,80431.9079298668
14,US-CA-XLA-SCL-SANDWEST,US,CA,XLA,SCL,SANDWEST,SCL-SANDWEST,HURST,Evacuation Warning,61507968.84375,51338.3074264256
15,US-CA-XLA-LOS-Q0775,US,CA,XLA,LOS,Q0775,LOS-Q0775,SUNSET,Evacuation Warning,16026323.8769531,26227.3054622981
16,US-CA-XLA-DUA-002,US,CA,XLA,DUA,002,DUA-002,EATON,Evacuation Warning,12694400.6191406,16555.793992462
17,US-CA-XLA-WLV-C204,US,CA,XLA,WLV,C204,WLV-C204,KENNETH,Evacuation Warning,28387757.7949219,25187.9671722768
18,US-CA-XLA-LOS-Q0716,US,CA,XLA,LOS,Q0716,LOS-Q0716,HURST,Evacuation Warning,18637564.7519531,24173.3190778371
19,US-CA-XLA-SIE-E004,US,CA,XLA,SIE,E004,SIE-E004,EATON,Evacuation Order,1203715.09960938,4367.88088535275
20,US-CA-XLA-SIE-E007,US,CA,XLA,SIE,E007,SIE-E007,EATON,Evacuation Order,1279682.36230469,7220.97841860914
21,US-CA-XLA-SIE-E008,US,CA,XLA,SIE,E008,SIE-E008,EATON,Evacuation Order,922512.236328125,7068.67486346799
22,US-CA-XLA-HID-C501,US,CA,XLA,HID,C501,HID-C501,KENNETH,Evacuation Order,27732798.7890625,31571.275117468
23,US-CA-XLA-LCF-COMMONWEALTH,US,CA,XLA,LCF,COMMONWEALTH,LCF-COMMONWEALTH,EATON,Evacuation Order,10028871.2402344,14813.4825809235
24,US-CA-XLA-LOS-E002,US,CA,XLA,LOS,E002,LOS-E002,HURST,Evacuation Order,12854927.0751953,20025.3853318454
25,US-CA-XLA-MRV-003,US,CA,XLA,MRV,003,MRV-003,EATON,Evacuation Order,22278645.5917969,20110.1556072195
26,US-CA-XLA-LCF-JPL,US,CA,XLA,LCF,JPL,LCF-JPL,EATON,Evacuation Order,8147314.15039063,14350.0325159623
27,US-CA-XLA-MRV-014,US,CA,XLA,MRV,014,MRV-014,EATON,Evacuation Order,1715215.68554688,4984.72962843339
28,US-CA-XLA-SAN-Q1603,US,CA,XLA,SAN,Q1603,SAN-Q1603,PALISADES,Evacuation Warning,9885981.52050781,12693.2109369846
29,US-CA-XLA-LOS-Q1057,US,CA,XLA,LOS,Q1057,LOS-Q1057,PALISADES,Evacuation Order,7706773.46582031,13495.882682331
30,US-CA-XLA-LOS-Q1085,US,CA,XLA,LOS,Q1085,LOS-Q1085,KENNETH,Evacuation Order,14873364.1953125,17239.4568621637
31,US-CA-XLA-LAC-E153,US,CA,XLA,LAC,E153,LAC-E153,EATON,Evacuation Warning,448844425.429688,180510.575575892
32,US-CA-XLA-BRA-001Z,US,CA,XLA,BRA,001Z,BRA-001Z,EATON,Evacuation Warning,3969574.62207031,8994.39388499549
33,US-CA-XLA-LOS-Q0729,US,CA,XLA,LOS,Q0729,LOS-Q0729,KENNETH,Evacuation Order,9779504.79589844,14142.9895325547
34,US-CA-XLA-LOS-Q0783,US,CA,XLA,LOS,Q0783,LOS-Q0783,PALISADES,Evacuation Warning,22000727.9697266,27222.4751833144
