objectid,zone_id,label,globalid,shape_Length,shape_Area
1,US-CA-XSD-SDC-0189,SDC-0189,{A1946C46-F09E-42FA-B521-283885E275E1},31195.254380567414046,37438157.680555887520313
2,US-CA-XSD-SDC-1047,SDC-1047,{3EC96D47-8F71-43CF-B648-6769963D5228},12581.937831291901603,9814147.016218956559896
3,US-CA-XSD-SDC-2565,SDC-2565,{2DD9A751-E43B-4842-95E6-B5B68AB1ECDB},47679.818230086988478,89265522.119430541992188
4,US-CA-XSD-SDC-0026,SDC-0026,{DA3F51A3-9370-4507-AB7C-26036F9C53E0},34535.380839886798640,46788900.742226324975491
5,US-CA-XSD-SDC-1484,SDC-1484,{0DFC94B1-D586-434A-8CC4-E5E01F2B66E3},74461.097223917298834,341430969.622330248355865
6,US-CA-XSD-SDC-1497,SDC-1497,{0AD8F060-1E26-432E-B0E0-3469D9DB0BB4},16720.752065506392682,13202406.378505669534206
7,US-CA-XSD-SDC-1437,SDC-1437,{23A4E47B-8C9D-4CA0-9B24-98C3FC8FB583},69714.996837835235056,148879495.705755084753036
8,US-CA-XSD-SDC-2124,SDC-2124,{0A785B74-B82C-4F94-BFF1-1764DAEADC50},45922.661610532180930,11674344.390071401372552
9,US-CA-XSD-SDC-1247,SDC-1247,{52AEEA8F-02F5-48F9-BF42-DA03928A4708},8795.322144506893892,3154786.960172980092466
10,US-CA-XSD-SDC-1219,SDC-1219,{C5D32FD7-7456-4836-B76D-3B77FFD21998},14105.956273096069708,12360409.313901195302606
11,US-CA-XSD-SDC-1246,SDC-1246,{3135FCC0-8D46-4129-ABC9-DFB61C57AE6D},16264.680447319615268,11446765.983354812487960
12,US-CA-XSD-SDC-1285,SDC-1285,{51B889EB-4389-4080-8795-999696AB7827},13617.471251808094166,6329935.955505005083978
13,US-CA-XSD-SDC-1256,SDC-1256,{2F620CDB-29A4-4742-A141-4B1DB4526DD8},15839.246568523110909,6859687.100689355283976
14,US-CA-XSD-SDC-1496,SDC-1496,{496909E4-5B06-425E-BD0C-4ED45A0C29EA},15631.495356862054905,10243873.531172787770629
15,US-CA-XSD-SDC-1216,SDC-1216,{FAFB8637-8612-4EE6-B382-FEDE398B9C08},8282.856940545800171,3429572.643392246682197
16,US-CA-XSD-SDC-1272,SDC-1272,{CDBF6F4A-0C65-4FE0-B49C-3F7D69FC3B9C},31435.781477153144806,62981977.042762368917465
17,US-CA-XSD-SDC-1259,SDC-1259,{AE8D8F35-30D8-4A8C-8DC1-3FF0734E3FAD},7139.009179815108837,2591813.354526387993246
18,US-CA-XSD-SDC-1419,SDC-1419,{A49C5C2C-9F29-4123-83FC-CC1DEB999D7E},22677.995491021039925,27223649.124571461230516
19,US-CA-XSD-SDC-1208,SDC-1208,{2EE2775E-1516-48D2-87A0-E1506EBFD305},20041.181411176003166,13963505.745995983481407
20,US-CA-XSD-SDC-1474,SDC-1474,{0CB6C6B2-EEB1-406C-941D-B8F86A97FDB3},34484.198323927812453,56235684.539650171995163
21,US-CA-XSD-SDC-1456,SDC-1456,{52274BCD-3831-4CB0-BB7F-2E04467EE5A4},14960.250660967503791,8335458.005034040659666
22,US-CA-XSD-SDC-1404,SDC-1404,{C1BC2265-BBAA-4A58-881B-C3C8CABFD472},17489.846476813636400,17769949.038311388343573
23,US-CA-XSD-SDC-1465,SDC-1465,{53153944-567D-4BD2-9121-5DA5ED3829B8},43409.993300477501180,40353256.190116986632347
24,US-CA-XSD-SDC-1470,SDC-1470,{E2D7DBD2-E2A9-42E5-896E-DB2255FFB6E6},50107.407267159964249,49184425.462527200579643
25,US-CA-XSD-SDC-1349,SDC-1349,{842FB8E8-9F82-4C0F-999B-C8238FB27A84},12073.573633335465274,5013914.692989497445524
26,US-CA-XSD-SDC-1459,SDC-1459,{49037D65-2C74-42A0-97AC-9D8C7127D705},35860.014557116308424,28423134.987179365009069
27,US-CA-XSD-SDC-1372,SDC-1372,{38482963-A1EB-4174-9F3A-84BE82EAD6B1},42201.486183328182960,62880740.018356785178185
28,US-CA-XSD-SDC-1448,SDC-1448,{1E923A0E-1870-43A0-8825-62B7D3EFDCB4},13638.172950814659998,10587663.102654231712222
29,US-CA-XSD-SDC-1480,SDC-1480,{188F77A7-E19D-4C68-BE01-AEDEB677FCD1},24278.790159132498957,31277655.529651217162609
30,US-CA-XSD-SDC-1487,SDC-1487,{3475AB74-B176-4EE2-BE22-7A04E55A8DC8},75822.621026862077997,163893609.517624408006668
31,US-CA-XSD-SDC-1461,SDC-1461,{ACE94EE8-7BD1-4798-895C-BF3CCF1CFEBE},52454.037798968463903,105022543.381615445017815
32,US-CA-XSD-SDC-1450,SDC-1450,{01689D6A-A911-4E45-BE34-D24BA458EC7E},14193.908798726097302,11053004.591546824201941
33,US-CA-XSD-SDC-1423,SDC-1423,{512D33F0-228C-433C-84EC-DBAD565952A5},39845.710392855267855,58099630.089782141149044
34,US-CA-XSD-SDC-1440,SDC-1440,{BA36A0D8-9E8A-495D-B947-F56774ADD564},27761.630061261246738,29027719.675736691802740
35,US-CA-XSD-SDC-1441,SDC-1441,{74DFFDB3-8845-46ED-9FEA-79BA63684112},22257.799963440585998,20869609.041575714945793
36,US-CA-XSD-SDC-1479,SDC-1479,{821B1025-A7A2-43F6-A67E-7FE685DDD4C8},37022.964666267071152,53916674.273343957960606
37,US-CA-XSD-SDC-1410,SDC-1410,{749A217D-A4FC-45F5-B2ED-2799739F97AD},27979.559308435094863,32978377.780486959964037
38,US-CA-XSD-SDC-1490,SDC-1490,{38295214-D0AB-43AA-AE93-49B6DCA2AF06},51459.907192211780057,57250905.701195374131203
39,US-CA-XSD-SDC-1400,SDC-1400,{DEA44050-51A9-48CC-B5DA-9689A65BDEC5},34097.593966151784116,60815725.290816918015480
40,US-CA-XSD-SDC-1413,SDC-1413,{C941C802-D35C-4472-BBE5-6652CD692736},25646.134717939898110,30834943.622709814459085
