incident_id,incident_name,incident_longitude,incident_latitude,incident_county,incident_date_last_update,incident_dateonly_extinguished,incident_is_final,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_type,incident_url,incident_date_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
fccf2545-cab8-452e-829c-8379054831f0,Moreno Fire,-117.17773,33.94673,Riverside,2021-06-04T10:48:19Z,2018-01-09,Y,2017-05-23T13:13:00Z,CAL FIRE/Riverside County Fire,,Ironwood Avenue and Moreno Beach Drive,10,100,.,CAL FIRE/Riverside County Fire,,https://www.fire.ca.gov/incidents/2017/5/23/moreno-fire/,2018-01-09T10:08:00Z,2017-05-23,N,TRUE,FALSE
1c0e692a-8afc-41e9-8ac7-d27b977f0cdd,Milepost 21 Fire,-123.6986222,41.1849445,Humboldt,2021-05-19T16:31:35Z,2020-08-18,Y,2020-07-20T15:44:53Z,Hoopa Valley Indian Reservation,,"Highway 96 and Deerhorn Rd, southeast of Weitchpec",100,100,,Hoopa Valley Indian Reservation,Wildfire,https://www.fire.ca.gov/incidents/2020/7/20/milepost-21-fire/,2020-08-18T18:09:00Z,2020-07-20,N,FALSE,FALSE
b341b09d-2024-4b2a-a439-f39409abb432,Fields Fire,-121.450982,39.181047,Yuba,2021-06-15T10:05:39Z,2020-10-07,Y,2020-10-07T06:06:33Z,CAL FIRE Nevada Yuba Placer Unit,,"Gold Field Road and Hammonton Road, Northeast of Marigold",56,100,,,Wildfire,https://www.fire.ca.gov/incidents/2020/10/7/fields-fire/,2020-10-07T08:34:00Z,2020-10-07,N,TRUE,FALSE
2347b6fb-8468-46bb-9917-d5cea3f1efdd,Erbes Fire,-118.83967,34.20955,Ventura,2021-01-25T13:45:12Z,2021-01-15,Y,2021-01-14T16:00:00Z,Ventura County Fire Department,,Erbes Road and Westland Place,250,100,,Ventura County Fire Department,Wildfire,https://www.fire.ca.gov/incidents/2021/1/14/erbes-fire/,2021-01-15T13:45:05Z,2021-01-14,N,FALSE,FALSE
68c11904-f38b-4aa0-ab90-b3c805c4e8cd,Manzanita Fire,-119.51982,37.25086,Madera,2021-01-20T15:25:41Z,,Y,2021-01-19T12:08:00Z,CAL FIRE Madera Mariposa Merced Unit,,"Manzanita Lake Drive and Road 222, North of North Fork",23,100,,,Wildfire,https://www.fire.ca.gov/incidents/2021/1/19/manzanita-fire/,,2021-01-19,N,TRUE,FALSE
929a21bc-65a0-49b4-bc90-bfa5457987e4,Bonny Doone Complex (Previously Fanning Fire),-122.10509,37.08931,Santa Cruz,2021-01-21T18:38:20Z,,Y,2021-01-19T06:48:00Z,CAL FIRE San Mateo Santa Cruz Unit,,"Fanning Grade and Harmony Hill Road, East of Ben Lomond",20,100,,,Wildfire,https://www.fire.ca.gov/incidents/2021/1/19/bonny-doone-complex-previously-fanning-fire/,,2021-01-19,N,TRUE,FALSE
2657090b-ec47-4fbe-bc4e-400cd50a8d55,North Butano Fire,-122.28823,37.18259,San Mateo,2021-01-21T18:33:54Z,,Y,2021-01-18T21:00:00Z,CAL FIRE San Mateo Santa Cruz Unit,,"Off of Old Womans Creek Road , South of Loma Mar",15,100,,,Wildfire,https://www.fire.ca.gov/incidents/2021/1/18/north-butano-fire/,,2021-01-18,N,TRUE,FALSE
9b2b5a16-52cf-4f2e-bc8a-a3af75b28522,China Grade Fire,-122.1756,37.17749,Santa Cruz,2021-02-18T14:11:18Z,,Y,2021-01-18T21:00:00Z,CAL FIRE San Mateo Santa Cruz Unit,,"China Grade Road and Foxglove Lane, Northwest of Boulder Creek",22,100,,,,https://www.fire.ca.gov/incidents/2021/1/18/china-grade-fire/,,2021-01-18,N,TRUE,FALSE
b38fdc2c-3108-4273-8a67-8d69bdbfb6bb,72 Fire,-116.10723,33.52871,Riverside,2021-01-25T13:47:05Z,2021-01-20,Y,2021-01-19T14:48:24Z,CAL FIRE/ Riverside County Fire Department,,"Ave 72 and Pierce St, south of Oasis",43,100,,CAL FIRE/ Riverside County Fire Department,Wildfire,https://www.fire.ca.gov/incidents/2021/1/19/72-fire/,2021-01-20T13:46:53Z,2021-01-19,N,TRUE,FALSE
79aca6f4-ee40-44e8-9dff-069c36c36fc1,Towsley Fire,-118.5553174,34.3585229,Los Angeles,2021-02-18T14:10:17Z,2021-01-22,Y,2021-01-19T15:04:08Z,Los Angeles County Fire Department,,"Towsley Canyon Road and I-5, South of Santa Clarita",184,100,,Los Angeles County Fire Department,,https://www.fire.ca.gov/incidents/2021/1/19/towsley-fire/,2021-01-22T18:12:36Z,2021-01-19,N,TRUE,FALSE
