incident_id,incident_name,incident_longitude,incident_latitude,incident_county,incident_date_last_update,incident_dateonly_created,incident_dateonly_extinguished,incident_location,incident_acres_burned,incident_url,is_active
f136ba8d-f6bb-4bad-9815-1d56f9dc8650,White Fire,-120.2903,34.9522,Santa Barbara,2023-10-20T09:51:44Z,2015-08-01,2015-08-03,"off White Oak Ln, east of Santa Maria",52,https://www.fire.ca.gov/incidents/2015/8/1/white-fire/,N
af8f8070-a3d6-4ca2-8e2b-6da1049a5bea,Phoenix Fire,-120.51887,39.39051,Nevada,2023-10-20T09:52:20Z,2016-09-07,2016-09-08,west of Fordyce Lake near Soda Springs ,38,https://www.fire.ca.gov/incidents/2016/9/7/phoenix-fire/,N
9645c55f-2b11-40ab-9ae7-df424d685a2d,LNU Lightning Complex,-122.14864,38.48193,"Napa, Solano, Lake, Sonoma, Yolo",2023-03-20T13:16:19Z,2020-08-17,2020-10-02,See details below,363220,https://www.fire.ca.gov/incidents/2020/8/17/lnu-lightning-complex/,N
7ffc89b4-ebfd-44f3-bb9c-74151e99670f,Pitman Fire,-117.31544,34.52927,San Bernardino,2023-07-07T13:15:26Z,2020-12-26,2020-12-28,East of Lytle Creek Road and North of I-15 in San Bernardino County.,,https://www.fire.ca.gov/incidents/2020/12/26/pitman-fire/,N
a21c4d1f-87ed-4db1-85ea-eae41c90a0ac,Caldor Fire,-120.537833,38.586,"El Dorado, Alpine, Amador",2023-02-16T11:40:23Z,2021-08-14,2021-10-21,"East of Omo Ranch, South of the community of Grizzly Flats",221835,https://www.fire.ca.gov/incidents/2021/8/14/caldor-fire/,N
f3558310-247c-4913-a08b-68d568abdf4b,Colorado Fire,-121.880533,36.396461,Monterey,2023-06-14T09:07:43Z,2022-01-21,,"Palo Colorado Canyon, Big Sur, south of Carmel-by-the-sea",687,https://www.fire.ca.gov/incidents/2022/1/21/colorado-fire/,N
e4391d31-46b5-49ad-b4d5-4a934b73d08b,Jim Fire ,-117.5181037,33.6769121,Orange,2023-06-14T09:28:03Z,2022-03-02,2022-03-09,"Holy Jim Canyon & Trabuco Creek Road, northeast of Rancho Santa Margarita",,https://www.fire.ca.gov/incidents/2022/3/2/jim-fire/,N
98953233-d2bd-4704-a6dc-122d14e388f6,River Fire ,-122.0246463,39.2333948,Colusa,2023-06-14T09:19:13Z,2022-05-24,2022-05-28,Hwy 45 and Brown Road,595,https://www.fire.ca.gov/incidents/2022/5/24/river-fire/,N
61c7f0a0-3f9e-4665-92b0-3f135987907a,Elk Trail Fire,-116.447636,34.090619,San Bernardino,2023-06-14T09:52:54Z,2022-05-26,2022-05-30,"Elk Trail , South end of Yucca Valley ",431,https://www.fire.ca.gov/incidents/2022/5/26/elk-trail-fire/,N
e0d1fd77-071f-4892-9738-49baba9658f3,Lost Lake Fire ,-114.484173,34.010838,Riverside,2023-06-14T09:29:09Z,2022-05-26,2023-06-04,"Hwy 95 and Lost Lake, Community of Lost Lake in Riverside County",5856,https://www.fire.ca.gov/incidents/2022/5/26/lost-lake-fire/,N
f7f9f401-e8b5-423f-b0da-13011200b213,Plant Fire,-118.9253809,34.9324042,Kern,2023-06-14T09:08:05Z,2022-06-11,2022-06-14,"Interstate 5 and Grapevine Rd, Grapevine",517,https://www.fire.ca.gov/incidents/2022/6/11/plant-fire/,N
d0c68cde-731a-4409-a810-32c7d326ce54,Sheep Fire,-117.61508,34.355593,San Bernardino,2023-06-14T09:29:28Z,2022-06-12,2023-06-22,"Hwy 2 and Sheep Creek Road, North East of Wrightwood in San Bernardino County",865,https://www.fire.ca.gov/incidents/2022/6/12/sheep-fire/,N
2c095f28-ae55-4a23-9378-2a74989e889f,Rancho Fire,-122.45621,40.00919,Tehama,2023-06-14T09:25:47Z,2022-06-13,2022-06-18,"Rancho Tehama Road and Alpine Drive, northwest of Corning",593,https://www.fire.ca.gov/incidents/2022/6/13/rancho-fire/,N
49ce10fd-94f9-48ee-890f-3b63b1aa84ea,Thunder Fire ,-118.889446,34.936618,Kern,2023-06-14T09:10:33Z,2022-06-22,2022-06-27,"Edmonston Pump Plant Rd East of Interstate 5, South of Bakersfield",2500,https://www.fire.ca.gov/incidents/2022/6/22/thunder-fire/,N
769b01fc-2018-420a-92b2-5e2ccb296894,Tesla Fire,-121.556086,37.365652,Alameda,2023-06-14T09:26:32Z,2022-06-23,2023-06-23,"Tesla Road and Corall Hollow Rd, 11 miles southeast of Livermore in Alameda County",552,https://www.fire.ca.gov/incidents/2022/6/23/tesla-fire/,N
13541b69-799a-4a8b-ade9-0bdefc254f73,Romero Fire,-121.97785,38.42619,Merced,2023-06-14T08:58:50Z,2022-06-23,2022-06-24,Santa Nella near O'Neill Forebay in Merced County,349,https://www.fire.ca.gov/incidents/2022/6/23/romero-fire/,N
b3b6407b-cafa-4f42-bc9e-6e0e286717c4,Burrows Fire ,-122.55002,39.713372,Glenn,2023-06-14T09:11:11Z,2022-06-28,,"County Rd 306 and County Rd 315, north of Elk Creek",317,https://www.fire.ca.gov/incidents/2022/6/28/burrows-fire/,N
