incident_id,incident_name,incident_longitude,incident_latitude,incident_county,incident_date_last_update,incident_dateonly_extinguished,incident_is_final,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_type,incident_url,incident_date_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
094719ba-a47b-4abb-9ec5-a506b2b9fd23,River Fire,-118.01651,36.602575,Inyo,2022-10-24T11:39:23Z,2013-02-28,Y,2013-02-24T08:16:00Z,CAL FIRE San Bernardino Unit,,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",407,100,,"CAL FIRE San Bernardino Unit, Inyo County Sheriff, US Forest Service, BLM, LADWP, Lone Pine Volunteer Fire Department, Big Pine Volunteer Fire Department, Olancha Volunteer Fire Department, Independence Volunteer Fire Department.",,https://www.fire.ca.gov/incidents/2013/2/24/river-fire/,2013-02-28T20:00:00Z,2013-02-24,N,TRUE,FALSE
53122f0f-fefc-4dbf-b2d8-566b42ced66d,Panther Fire,-121.595555,40.190062,Tehama,2022-10-24T11:40:03Z,2013-05-09,Y,2013-05-01T09:12:00Z,CAL FIRE Butte Unit,,"140K3 Line, 8 miles northwest of Butte Meadows",6896,100,,"CAL FIRE Butte Unit, CAL FIRE, USFS (Lassen and Plumas NF), CDCR, SPI, Collins Pine, Chico Fire Department",,https://www.fire.ca.gov/incidents/2013/5/1/panther-fire/,2013-05-09T09:00:00Z,2013-05-01,N,TRUE,FALSE
a1b14be5-a8cf-4e40-8588-96becf4c5879,Summit Fire,-116.941311,34.288877,Riverside,2022-10-24T11:40:42Z,2013-05-04,Y,2013-05-01T12:38:00Z,CAL FIRE/Riverside County Fire,,Mias Canyon and Bluff Road in Banning,2956,100,,CAL FIRE/Riverside County Fire,,https://www.fire.ca.gov/incidents/2013/5/1/summit-fire/,2013-05-04T18:30:00Z,2013-05-01,N,TRUE,FALSE
958ce6d2-97f9-4848-8620-d14ab87f329d,Gorgonio Fire,-116.855019,33.894055,Riverside,2022-10-24T11:40:58Z,2013-05-05,Y,2013-05-04T11:43:00Z,CAL FIRE/Riverside County Fire,,"Highway 243, south of Banning and north of Pine Cove",650,100,,CAL FIRE/Riverside County Fire,,https://www.fire.ca.gov/incidents/2013/5/4/gorgonio-fire/,2013-05-05T18:45:00Z,2013-05-04,N,TRUE,FALSE
859479e3-918c-42c6-bb74-5fdc17930a16,San Felipe Fire,-116.52579,33.12111,San Diego,2022-10-24T11:41:15Z,2013-05-26,Y,2013-05-23T12:20:00Z,CAL FIRE San Diego Unit,,"San Felipe Road, north of Highway 78, East of Julian",2650,100,,"CAL FIRE San Diego Unit, CALFIRE, USFS, BLM, SAN DIEGO SHERIFF'S OFFICE, AMR, CAL EMA, SAN DIEGO CITY, LOCAL GOVERNMENT, SAN DIEGO FIRE AUTHORITY, RESERVATION, CCC",,https://www.fire.ca.gov/incidents/2013/5/23/san-felipe-fire/,2013-05-26T17:45:00Z,2013-05-23,N,TRUE,FALSE
07a5397c-a665-4f84-9a82-5f689cb2c8f3,General Fire,-116.5209,33.04458,San Diego,2022-10-24T11:41:51Z,2013-05-31,Y,2013-05-26T12:04:00Z,CAL FIRE San Diego Unit,,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",2500,100,,CAL FIRE San Diego Unit,,https://www.fire.ca.gov/incidents/2013/5/26/general-fire/,2013-05-31T06:15:00Z,2013-05-26,N,TRUE,FALSE
05d0fed7-8502-4a6f-9c5c-b9cee0e75408,Rolling Fire,-119.78106,37.015575,Madera,2022-10-24T11:42:08Z,2013-06-18,Y,2013-06-16T18:17:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,"off Hwy 41 & Road 145, northwest of Friant",480,100,,CAL FIRE Madera-Mariposa-Merced Unit,,https://www.fire.ca.gov/incidents/2013/6/16/rolling-fire/,2013-06-18T19:30:00Z,2013-06-16,N,TRUE,FALSE
6011819c-19ac-46c2-aa48-0ee8be0e48c0,Mills Fire,-117.048397,34.071556,San Bernardino,2022-10-24T11:35:12Z,2013-07-01,Y,2013-06-28T14:30:00Z,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,,"south of Highway 38 & Bryant Street, northwest of Yucaipa",534,100,,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,,https://www.fire.ca.gov/incidents/2013/6/28/mills-fire/,2013-07-01T06:00:00Z,2013-06-28,N,TRUE,FALSE
522114fe-ada8-49a9-9bb2-5891103ff0ca,Kirker Fire,-121.91453,37.96866,Contra Costa,2022-10-24T11:37:51Z,2013-07-01,Y,2013-07-01T13:19:00Z,CAL FIRE Santa Clara Unit,,Kirker Pass Road south of Pittsburg,492,100,,CAL FIRE Santa Clara Unit,,https://www.fire.ca.gov/incidents/2013/7/1/kirker-fire/,2013-07-01T18:40:00Z,2013-07-01,N,TRUE,FALSE
a3149fec-4d48-427c-8b2c-59e8b79d59db,Mountain Fire,-116.72885,33.7095,Riverside,2022-10-24T11:38:10Z,2013-07-30,Y,2013-07-15T13:43:00Z,CAL FIRE Riverside Unit / San Bernardino National Forest,,Hwy 243 & Hwy 74 near Mountain Center,27531,100,,CAL FIRE Riverside Unit / San Bernardino National Forest,,https://www.fire.ca.gov/incidents/2013/7/15/mountain-fire/,2013-07-30T18:00:00Z,2013-07-15,N,TRUE,FALSE
