incident_id,incident_name,incident_longitude,incident_latitude,incident_county,incident_date_last_update,incident_dateonly_created,incident_dateonly_extinguished,incident_location,incident_acres_burned,incident_url,is_active
da0f58a2-b61c-4514-8439-c4ca4792718a,Palmas Fire,-115.82784,33.5103795,Riverside,2024-02-26T15:25:20Z,2/20/2024,2/26/2024,"Dos Palmas Spring Road, North Shore ",239,https://www.fire.ca.gov/incidents/2024/2/20/palmas-fire/,N
c32fd360-9830-4ad1-9595-0b3a67257eba, Bryson Fire,-121.084104,35.81148,Monterey,2024-02-28T07:32:19Z,2/27/2024,2/27/2024,"Sapague Rd and Bryson Hesperia Road, Northeast of Bryson",11,https://www.fire.ca.gov/incidents/2024/2/27/bryson-fire/,N
22229c97-8035-4ba8-b1a2-1965107977ed,Cartago Fire,-118.026767,36.316401,Inyo,2024-04-06T18:43:47Z,4/3/2024,,"Cartago, Inyo County ",104,https://www.fire.ca.gov/incidents/2024/4/3/cartago-fire/,N
f7e0845c-7209-4a79-8368-7c8862383221,Marsh Fire,-121.83332,38.05686,Sacramento,2024-04-15T08:32:59Z,4/12/2024,,Point Sacramento/Kimball Island,,https://www.fire.ca.gov/incidents/2024/4/12/marsh-fire/,N
0563714f-e479-41f8-a2b0-59cfacdeffe1,Gardner Fire,-119.39529,35.153062,Kern,2024-04-15T08:32:29Z,4/12/2024,,East of Taft,241,https://www.fire.ca.gov/incidents/2024/4/12/gardner-fire/,N
df1a7e0d-7fc9-49af-be53-4e2d5b818411,Pendola Fire,-121.070752,39.494086,Yuba,2024-04-22T07:00:49Z,4/21/2024,,"Garden Valley Road and Pendola Road, near Camptonville",18,https://www.fire.ca.gov/incidents/2024/4/21/pendola-fire/,N
3ea940e2-abab-41a3-b073-6aa3ce6f8f72,York Fire,-120.097738,35.817759,Kings,2024-04-22T06:59:36Z,4/21/2024,,"Highway 41 and York Avenue, north of Kings/Kern County Line",181,https://www.fire.ca.gov/incidents/2024/4/21/york-fire/,N
ce64ef4a-565d-46db-b94c-b0436644cf7f,Refuge Fire,-120.360998,36.730979,Fresno,2024-05-08T09:52:25Z,4/26/2024,,"West Panoche Road & HIghway 180, Mendota",475,https://www.fire.ca.gov/incidents/2024/4/26/refuge-fire/,N
deffd3c6-f488-48d9-8ec0-43cf23d26e44,Billy Fire,-120.99063,37.020145,Merced,2024-04-30T19:08:01Z,4/30/2024,,"Billy Wright Road & Bonita Road, Santa Nella",12,https://www.fire.ca.gov/incidents/2024/4/30/billy-fire/,N
9aeb7f9d-3672-400d-ba4e-2b490220f78d,School Fire,-119.33179,35.04847,Kern,2024-05-03T12:50:48Z,5/2/2024,5/3/2024, Highway 166 and Basic School Road,1479,https://www.fire.ca.gov/incidents/2024/5/2/school-fire/,N
b24e4e25-08ed-410b-87bc-4222a507158b,Dawn Fire,-118.23,34.9117,Kern,2024-05-07T16:05:43Z,5/4/2024,,Unknown / TBD,13,https://www.fire.ca.gov/incidents/2024/5/4/dawn-fire/,N
4aad6061-4f7d-4a62-b441-255a9c53b43e,Tram Fire,-116.55819,33.858369,Riverside,2024-05-07T16:05:34Z,5/4/2024,,Unknown / TBD,14,https://www.fire.ca.gov/incidents/2024/5/4/tram-fire/,N
af6e0e0e-af49-4dbf-98c9-c36b1028eed7,Virginiatown Fire,-121.201005,38.902253,Placer,2024-05-06T10:05:21Z,5/2/2024,,Unknown / TBD,95,https://www.fire.ca.gov/incidents/2024/5/2/virginiatown-fire/,N
d9d67720-8b28-47d1-a05d-3033c70b73a3,Magnolia Fire,-116.807061,33.9208,Riverside,2024-05-08T12:41:52Z,5/7/2024,5/8/2024,"Apache Trail & Bonita Avenue, Cabazon",37,https://www.fire.ca.gov/incidents/2024/5/7/magnolia-fire/,N
48e43173-82a0-4573-b842-06bec1d05ee5,Almond Fire,-116.774124,33.903392,Riverside,2024-05-09T18:21:36Z,5/7/2024,,"Near Helen Ave & Date Ave, Cabazon",40,https://www.fire.ca.gov/incidents/2024/5/7/almond-fire/,N
c4439647-cf64-4a5f-bec1-3a228d5249f2,Sherwood Fire,-118.9429,35.7193,Kern,2024-06-28T12:18:17Z,5/10/2024,,North of Sherwood Ave & Famoso Woody Rd,353,https://www.fire.ca.gov/incidents/2024/5/10/sherwood-fire/,N
7f75a7b7-f2dc-4817-b321-bb570f6b4991,Dom Fire,-120.340061,36.362559,Fresno,2024-06-28T12:17:59Z,5/11/2024,,"South Stanislaus Ave and Coalinga-Mendota Rd - Coalinga, CA",24,https://www.fire.ca.gov/incidents/2024/5/11/dom-fire/,N
6605381c-d5d9-4dde-866b-ac56c51dccb1,Jayne Fire,-120.192362,36.137571,Fresno,2024-05-11T18:25:28Z,5/11/2024,,Unknown / TBD,40,https://www.fire.ca.gov/incidents/2024/5/11/jayne-fire/,N
89242de3-daa9-449d-a350-36832b8579d7,Border 44 Fire,-116.711161,32.571374,San Diego,2024-06-28T12:17:19Z,5/11/2024,,Unknown / TBD,15,https://www.fire.ca.gov/incidents/2024/5/11/border-44-fire/,N
c137330e-e0b9-4d93-b22b-835a1fb547e7,Red Fire,-117.601135,35.388107,San Bernardino,2024-05-13T14:39:35Z,5/11/2024,,Unknown / TBD,148,https://www.fire.ca.gov/incidents/2024/5/11/red-fire/,N
3ee4788b-f658-415c-879a-a11f00d10d77,National Fire,-117.339379,34.602884,San Bernardino,2024-06-28T12:16:36Z,5/12/2024,,"National Trails Hwy, Oro Grande",80,https://www.fire.ca.gov/incidents/2024/5/12/national-fire/,N
dcf00ad9-98e6-44c8-b5f3-9693133814c5,Love 2 Fire,-116.8004,32.7754088,San Diego,2024-06-28T12:16:15Z,5/13/2024,,"Loveland Ln and Montiel Truck TRL, Lawson Valley",18,https://www.fire.ca.gov/incidents/2024/5/13/love-2-fire/,N
0e7ec8f8-87e5-4a70-9369-08b96059d3eb,Janell Fire,-116.8539685,33.471139,Riverside,2024-05-15T11:50:28Z,5/14/2024,5/15/2024,45900 Block of Cahuilla Road,14,https://www.fire.ca.gov/incidents/2024/5/14/janell-fire/,N
94509745-c6c6-412e-8767-2b511381fe84,John Fire,-120.652034,37.244144,Merced,2024-06-28T12:15:33Z,5/14/2024,,"South Bert Crane Road and John Saunders Road, Near Atwater",12,https://www.fire.ca.gov/incidents/2024/5/14/john-fire/,N
190200af-43ff-4874-8cd0-ea681b1582ae,Cow Fire,-118.7503007,35.4759526,Kern,2024-05-20T10:09:55Z,5/15/2024,,"Highway 178 and Democrat Road, Southwest of Lake Isabella",132,https://www.fire.ca.gov/incidents/2024/5/15/cow-fire/,N
9c4b2458-d757-41c0-86cb-9cec1e9b4f83,Ranch Fire,-121.449913,39.693268,Butte,2024-06-28T12:14:26Z,5/15/2024,,"Near Newsome Ranch Road, Concow",10,https://www.fire.ca.gov/incidents/2024/5/15/ranch-fire/,N
75070ec5-7169-459d-a57e-cb39f1768062,Idria Fire,-120.801731,36.490486,San Benito,2024-06-28T12:14:01Z,5/15/2024,,"Near New Idria Road, Paicines",29,https://www.fire.ca.gov/incidents/2024/5/15/idria-fire/,N
37e3db45-6b25-4f7b-a92b-84f10d197437,Petrol Fire,-120.33456,36.2748148,Fresno,2024-06-28T12:13:38Z,5/17/2024,,"Highway 33 and Highway 198, North of Coalinga",186,https://www.fire.ca.gov/incidents/2024/5/17/petrol-fire/,N
842042fa-04d9-49b2-af6e-92143b21ebb1,Roberts Fire,-120.811491,35.829559,Monterey,2024-06-28T12:12:15Z,5/17/2024,,"Range 39, Camp Roberts",,https://www.fire.ca.gov/incidents/2024/5/17/roberts-fire/,N
49095c12-ea76-4ac6-8034-ff1da7b6c03f,Mission Fire,-116.583317,33.984278,Riverside,2024-06-28T12:11:40Z,5/18/2024,5/18/2024,Highway 62 and Mission Creek Road,27,https://www.fire.ca.gov/incidents/2024/5/18/mission-fire/,N
b7ca9cee-f5e3-4d5c-afd0-19ade7b24ba9,Wind Fire,-118.99692,34.96545,Kern,2024-06-28T12:09:51Z,5/20/2024,5/20/2024,"West of Interstate 5, South of Laval Road, North of the Grapevine",121,https://www.fire.ca.gov/incidents/2024/5/20/wind-fire/,N
d52efcc5-01bb-4f2e-b838-7599a1f17c14,Hall Fire,-122.129559,40.014819,Tehama,2024-06-28T12:09:21Z,5/20/2024,,"Gyle Road & Hall Road, near Tehama",12,https://www.fire.ca.gov/incidents/2024/5/20/hall-fire/,N
2578f6da-a787-4269-818d-c1616b35de18,Elk Fire,-122.476758,39.598771,Glenn,2024-05-22T08:37:04Z,5/21/2024,,Unknown / TBD,19,https://www.fire.ca.gov/incidents/2024/5/21/elk-fire/,N
9967523f-061a-477c-9142-9660e9920a6b,Valley Fire,-120.31,41.2449,Modoc,2024-05-22T20:32:18Z,5/21/2024,,Unknown / TBD,536,https://www.fire.ca.gov/incidents/2024/5/21/valley-fire/,N
9fdbe919-5581-44a9-aaf6-307037193995,Knolls Fire,-117.170895,33.02113,San Diego,2024-06-28T12:06:55Z,5/22/2024,5/22/2024,"Santa Fe Knolls Lane, Rancho Santa Fe",17,https://www.fire.ca.gov/incidents/2024/5/22/knolls-fire/,N
198dd536-7be9-44ca-b300-763e8927737c,Seven Fire,-121.908346,39.539678,Butte,2024-06-21T10:04:01Z,5/23/2024,5/24/2024,Unknown / TBD,11,https://www.fire.ca.gov/incidents/2024/5/23/seven-fire/,N
72e46bd8-232b-45c0-a715-46fec070b9e1,Panoche Fire,-120.8471351,36.5097274,San Benito,2024-06-28T12:03:47Z,5/25/2024,5/28/2024,"Panoche Road and Clear Creek Road, New Idria ",191,https://www.fire.ca.gov/incidents/2024/5/25/panoche-fire/,N
f4fa469d-e2bd-41e7-bc84-86372acdcd44,Harford Fire,-117.340976,33.812223,Riverside,2024-06-28T12:03:00Z,5/25/2024,,"Harford Park Lane & Frantz Road, Lake Mathews",18,https://www.fire.ca.gov/incidents/2024/5/25/harford-fire/,N
dd8e4500-bd34-4dea-acde-fd1b4ff00ca3,Shirleon Fire,-116.901498,33.895775,Riverside,2024-06-28T12:00:37Z,5/25/2024,,"Southeast of Old Idyllwild Road & Shirleon Drive, Banning",34,https://www.fire.ca.gov/incidents/2024/5/25/shirleon-fire/,N
159367fb-6bee-4914-8815-84f629994473,Holiday Fire,-118.2554355,34.8492868,Kern,2024-05-26T05:57:51Z,5/25/2024,,Unknown / TBD,398,https://www.fire.ca.gov/incidents/2024/5/25/holiday-fire/,N
3dce248e-b14c-4816-aab1-3ceefc59b26a,Nees Fire,-120.771299,36.850279,Fresno,2024-05-26T05:55:10Z,5/25/2024,,Unknown / TBD,47,https://www.fire.ca.gov/incidents/2024/5/25/nees-fire/,N
e9e95a19-489b-4a24-b0d8-2744f72dc605,Central Fire,-119.7858,36.67799,Fresno,2024-06-28T11:57:14Z,5/25/2024,,Unknown / TBD,13,https://www.fire.ca.gov/incidents/2024/5/25/central-fire/,N
3f03a89c-3bdd-4ef8-a89f-c68161ee84e4,Border 51 Fire,-116.76972,32.57583,San Diego,2024-06-28T11:50:31Z,5/26/2024,,Mine Canyon Truck Trail & Marron Valley Road,12,https://www.fire.ca.gov/incidents/2024/5/26/border-51-fire/,N
