Incident Name,Start Date,Incident Time,Evacuation Order Zones,Evacuation Warning Zones
Sugar Fire,"December 27, 2021 at 6:48 PM","December 27, 2021 at 6:48 PM",,
Dixie Fire,"July 23, 2021 at 11:25 AM","October 25, 2021 at 7:44 AM",,
Monument Fire,"August 18, 2021 at 11:34 AM","October 6, 2021 at 8:02 PM",,
River Fire,"August 4, 2021 at 4:52 PM","August 13, 2021 at 7:49 PM",,
South Fire,"August 25, 2021 at 8:07 PM","August 28, 2021 at 10:09 AM",,
Arlanza Fire,"November 21, 2021 at 1:58 PM","November 21, 2021 at 1:58 PM",,
Emerald Fire,"February 10, 2022 at 9:06 AM","February 12, 2022 at 8:09 PM",,
Airport Fire,"February 16, 2022 at 4:15 PM","February 24, 2022 at 8:18 PM",,
Alpine Fire,"March 3, 2022 at 9:50 AM","March 5, 2022 at 7:21 PM",,
Flanagan Fire,"March 4, 2022 at 3:11 PM","March 15, 2022 at 4:44 PM",,
Hollister Fire,"March 12, 2022 at 1:57 PM","March 22, 2022 at 4:04 PM",,
Gulch Fire,"March 12, 2022 at 2:20 PM","March 15, 2022 at 10:55 AM",,
Evergreen Fire,"March 12, 2022 at 3:04 PM","March 14, 2022 at 7:49 PM",,
Whitlow Fire,"March 26, 2022 at 8:17 AM","March 27, 2022 at 4:16 PM",,
72 Fire,"March 26, 2022 at 9:22 PM","March 27, 2022 at 9:58 AM",,
Moonlight RX,"April 9, 2022 at 6:01 PM","April 9, 2022 at 6:31 PM",,
Platina Fire,"April 27, 2022 at 4:18 PM","April 30, 2022 at 9:23 AM",,
111 Fire,"May 1, 2022 at 5:25 PM","May 1, 2022 at 10:28 PM",,
Pyrite Fire,"May 6, 2022 at 6:54 PM","May 7, 2022 at 6:59 PM",,
House Fire,"May 11, 2022 at 2:59 PM","May 14, 2022 at 8:19 PM",,
Coastal Fire,"May 11, 2022 at 6:16 PM","May 17, 2022 at 7:54 AM",,
Coyote Fire,"May 15, 2022 at 5:42 PM","May 15, 2022 at 6:01 PM",,
Poplar Fire,"May 16, 2022 at 6:42 PM","May 17, 2022 at 9:14 AM",,
Edmonston Fire,"May 19, 2022 at 9:41 PM","May 23, 2022 at 5:56 PM",,
Willow Fire,"May 20, 2022 at 1:32 PM","May 20, 2022 at 5:31 PM",,
Dunnigan Fire,"May 20, 2022 at 3:14 PM","May 20, 2022 at 6:24 PM",,
