Incident Name,Start Date,Incident Time,Evacuation Order Zones,Evacuation Warning Zones
Caldor Fire,"August 16, 2021 at 1:31 PM","September 17, 2021 at 12:30 PM",,
Colorado Fire,"January 22, 2022 at 4:46 PM","February 2, 2022 at 8:58 AM",,
Jim Fire ,"March 2, 2022 at 2:35 PM","April 6, 2022 at 11:55 AM",,
River Fire ,"May 24, 2022 at 4:51 PM","May 25, 2022 at 8:40 AM",,
Elk Trail Fire,"May 26, 2022 at 5:59 PM","May 31, 2022 at 8:22 AM",,
Lost Lake Fire ,"May 26, 2022 at 9:34 PM","June 8, 2022 at 9:00 AM",,
Plant Fire,"June 11, 2022 at 9:31 AM","June 15, 2022 at 9:34 AM",,
Sheep Fire,"June 12, 2022 at 6:55 AM","June 15, 2022 at 6:57 PM",,
Rancho Fire,"June 13, 2022 at 9:13 PM","June 18, 2022 at 4:55 PM",,
Thunder Fire ,"June 22, 2022 at 12:34 PM","June 27, 2022 at 6:52 PM",,
Tesla Fire,"June 23, 2022 at 8:36 PM","June 25, 2022 at 7:49 AM",,
Romero Fire,"June 23, 2022 at 9:41 PM","June 24, 2022 at 7:24 AM",,
Burrows Fire ,"June 28, 2022 at 1:10 PM","June 29, 2022 at 6:50 PM",,
Camino Fire,"June 28, 2022 at 1:51 PM","July 2, 2022 at 8:07 AM",,
Rices Fire,"June 28, 2022 at 3:23 PM","July 11, 2022 at 8:27 AM",,
Nelson Fire,"June 30, 2022 at 3:56 PM","July 1, 2022 at 11:19 AM",,
Electra Fire,"July 4, 2022 at 6:45 PM","July 28, 2022 at 6:24 AM","CCU-E024, CCU-E026, CCU-E051, CCU-E52","CCU-E024, CCU-E026, CCU-E051, CCU-E52"
Washburn Fire,"July 8, 2022 at 8:22 PM","August 6, 2022 at 7:32 AM",,
Peter Fire ,"July 14, 2022 at 4:08 PM","July 20, 2022 at 8:06 AM",,
Agua Fire,"July 18, 2022 at 3:25 PM","July 23, 2022 at 7:42 AM",,
Oak Fire ,"July 22, 2022 at 3:37 PM","August 11, 2022 at 7:44 AM",,
Six Rivers (SRF) Lightning Complex,"August 5, 2022 at 10:14 PM","September 13, 2022 at 9:11 AM",,
Oak Fire,"August 15, 2022 at 4:41 PM","August 22, 2022 at 12:22 PM",,
Wishon Fire,"August 15, 2022 at 5:32 PM","August 16, 2022 at 7:31 AM",,
Valley Fire,"August 22, 2022 at 2:01 PM","August 22, 2022 at 2:01 PM",,
Route Fire,"August 31, 2022 at 1:48 PM","September 5, 2022 at 7:50 AM",,
Border 32,"August 31, 2022 at 4:15 PM","September 5, 2022 at 4:55 PM",,
Mill Fire,"September 2, 2022 at 2:04 PM","September 13, 2022 at 7:14 AM",,
Mountain Fire ,"September 2, 2022 at 6:06 PM","September 21, 2022 at 12:25 PM",,
Fairview Fire,"September 5, 2022 at 4:24 PM","September 22, 2022 at 6:54 PM",,
Radford Fire,"September 6, 2022 at 11:57 AM","September 12, 2022 at 10:30 AM",,
Mosquito Fire,"September 7, 2022 at 7:37 AM","September 23, 2022 at 4:27 PM",NF-10,
Fork Fire ,"September 7, 2022 at 4:46 PM","September 13, 2022 at 6:57 PM","MDC-100A, MDC-100B, MDC-101A, MDC-101B, MDC-101C, MDC-101D, MDC-101F, MDC-60A, MDC-61, MDC-88A, MDC-88B, MDC-88C","MDC-100A, MDC-100B, MDC-101A, MDC-101B, MDC-101F, MDC-60A, MDC-61, MDC-88A, MDC-88C"
Barnes Fire,"September 7, 2022 at 7:00 PM","September 17, 2022 at 9:14 AM",,
Red Fire,"September 8, 2022 at 10:07 AM","September 13, 2022 at 9:12 AM",,
66 Fire,"May 15, 2023 at 5:03 PM","May 18, 2023 at 8:59 AM",,
Johnson Fire,"May 20, 2023 at 8:47 PM","May 20, 2023 at 11:08 PM",,
Point Fire,"May 21, 2023 at 8:24 PM","May 22, 2023 at 5:52 PM",,
Pistol Fire,"May 30, 2023 at 2:06 PM","May 30, 2023 at 6:31 PM",,
Sicard Fire,"May 30, 2023 at 3:54 PM","June 1, 2023 at 7:15 PM",,
Orange Fire,"June 1, 2023 at 5:39 PM","June 2, 2023 at 3:52 PM",,
Panoche Fire,"June 3, 2023 at 2:35 PM","June 4, 2023 at 7:17 AM",,
Valley Fire,"June 3, 2023 at 6:03 PM","June 4, 2023 at 7:17 AM",,
Range Fire,"June 4, 2023 at 5:48 PM","June 5, 2023 at 7:27 AM",,
Rodeo Fire,"June 9, 2023 at 6:31 PM","June 10, 2023 at 1:46 PM",,
Gulch Fire,"June 10, 2023 at 5:14 PM","June 11, 2023 at 6:16 PM",,
Geology Fire,"June 10, 2023 at 5:36 PM","June 11, 2023 at 5:42 PM",,
Summit Fire,"June 14, 2023 at 10:20 AM","June 14, 2023 at 10:20 AM",,
Henderson Fire,"June 14, 2023 at 7:40 PM","June 16, 2023 at 6:58 PM",,
Frank Fire,"June 15, 2023 at 3:44 PM","June 16, 2023 at 6:58 PM",,
Scott Fire,"June 15, 2023 at 5:48 PM","June 19, 2023 at 6:23 PM",,
Snell Fire,"June 16, 2023 at 7:40 PM","June 19, 2023 at 7:25 AM",,
Wildcat Fire,"June 17, 2023 at 7:50 AM","June 17, 2023 at 7:50 AM",,
Rocky Fire,"June 18, 2023 at 11:28 AM","June 18, 2023 at 5:32 PM",,
Black Wood Fire,"June 20, 2023 at 12:38 PM","June 21, 2023 at 3:00 PM",,
Garbani Fire,"June 20, 2023 at 2:59 PM","June 21, 2023 at 2:35 PM",,
Viper Fire,"June 21, 2023 at 11:41 AM","June 22, 2023 at 8:46 AM",,
